Date,Open,High,Low,Close,Adj Close,Volume
2006-05-01,2.527500,2.555000,2.470000,2.485714,2.137472,750380400
2006-05-02,2.505357,2.570714,2.503929,2.557857,2.199508,771663200
2006-05-03,2.565357,2.569643,2.506429,2.540714,2.184767,686991200
2006-05-04,2.543571,2.603214,2.516429,2.540357,2.184460,860420400
2006-05-05,2.566429,2.580357,2.541071,2.567500,2.207800,563911600
2006-05-08,2.606786,2.635714,2.561429,2.567500,2.207800,594851600
2006-05-09,2.565000,2.591429,2.522143,2.536786,2.181389,531666800
2006-05-10,2.546071,2.547500,2.486071,2.521429,2.168183,459888800
2006-05-11,2.528214,2.530000,2.412500,2.433929,2.092943,812688800
2006-05-12,2.423214,2.453214,2.387857,2.417857,2.079122,641774000
2006-05-15,2.406071,2.442143,2.397143,2.421071,2.081886,529177600
2006-05-16,2.432143,2.437500,2.312500,2.320714,1.995589,936740000
2006-05-17,2.311071,2.346429,2.288214,2.330714,2.004188,754194000
2006-05-18,2.345714,2.366429,2.254286,2.256429,1.940310,658442400
2006-05-19,2.259286,2.317143,2.243571,2.303929,1.981156,985866000
2006-05-22,2.281071,2.285357,2.241786,2.263571,1.946450,718975600
2006-05-23,2.316429,2.328214,2.250000,2.255357,1.939388,694414000
2006-05-24,2.249643,2.273214,2.198571,2.262143,1.945223,916031200
2006-05-25,2.295000,2.301786,2.260357,2.297500,1.975626,463372000
2006-05-26,2.296786,2.305714,2.255000,2.269643,1.951673,432950000
2006-05-30,2.260357,2.260714,2.186429,2.186429,1.880117,563402000
2006-05-31,2.205714,2.206786,2.096071,2.134643,1.835586,1280977600
2006-06-01,2.137500,2.224286,2.125714,2.220357,1.909291,942508000
2006-06-02,2.249643,2.253571,2.174286,2.202143,1.893629,685787200
2006-06-05,2.183929,2.183929,2.141786,2.142857,1.842649,605785600
2006-06-06,2.150714,2.165357,2.103929,2.132857,1.834050,726037200
2006-06-07,2.146429,2.157143,2.083929,2.091429,1.798426,750506400
2006-06-08,2.087143,2.176071,2.041071,2.170000,1.865989,1397482800
2006-06-09,2.185000,2.198571,2.110714,2.115714,1.819309,775838000
2006-06-12,2.121429,2.133214,2.034286,2.035714,1.750516,717785600
2006-06-13,2.057500,2.110714,2.048571,2.083214,1.791361,1080643200
2006-06-14,2.081429,2.099286,2.024643,2.057500,1.769250,878136000
2006-06-15,2.046429,2.133571,2.026786,2.120714,1.823608,1190383600
2006-06-16,2.105714,2.113929,2.054286,2.055714,1.767714,838101600
2006-06-19,2.065357,2.077857,2.035714,2.042857,1.756658,704575200
2006-06-20,2.057500,2.083929,2.046071,2.052500,1.764950,672974400
2006-06-21,2.062143,2.096786,2.046429,2.066429,1.776928,863296000
2006-06-22,2.078571,2.133929,2.073929,2.127857,1.829751,965633200
2006-06-23,2.132857,2.148929,2.097500,2.101071,1.806717,660203600
2006-06-26,2.113214,2.114286,2.084643,2.106786,1.811631,466536000
2006-06-27,2.110357,2.115000,2.050000,2.051071,1.763722,550611600
2006-06-28,2.046071,2.046429,1.978929,2.000714,1.720420,850704400
2006-06-29,2.027143,2.110357,2.013929,2.106071,1.811017,873398400
2006-06-30,2.056786,2.062500,2.017857,2.045357,1.758808,739695600
2006-07-03,2.054286,2.077857,2.047857,2.069643,1.779692,194770800
2006-07-05,2.041071,2.057143,2.020000,2.035714,1.750516,518240800
2006-07-06,2.038929,2.050000,1.986071,1.991786,1.712742,633208800
2006-07-07,1.981429,2.019643,1.952500,1.978571,1.701379,799360800
2006-07-10,1.989286,2.017500,1.946429,1.964286,1.689095,529345600
2006-07-11,1.968214,1.999643,1.947500,1.987500,1.709057,825022800
2006-07-12,1.970357,1.972857,1.890000,1.891429,1.626445,927329200
2006-07-13,1.858214,1.932857,1.836071,1.866071,1.604640,1249906000
2006-07-14,1.875000,1.888929,1.791429,1.809643,1.556117,993036800
2006-07-17,1.847500,1.896786,1.844643,1.870357,1.608325,1024542400
2006-07-18,1.898571,1.923214,1.851786,1.889286,1.624602,1000448400
2006-07-19,1.891429,1.967143,1.870000,1.932143,1.661455,1390743200
2006-07-20,2.177143,2.199643,2.132857,2.160714,1.858004,1972146400
2006-07-21,2.136429,2.183929,2.130000,2.168571,1.864761,891892400
2006-07-24,2.187857,2.217857,2.158214,2.193571,1.886259,722856400
2006-07-25,2.206429,2.217500,2.170714,2.211786,1.901921,589069600
2006-07-26,2.214286,2.308571,2.202857,2.281071,1.961500,898427600
2006-07-27,2.303571,2.322143,2.245000,2.264286,1.947066,735044800
2006-07-28,2.283571,2.345714,2.267857,2.342500,2.014322,691507600
2006-07-31,2.386786,2.451071,2.367143,2.427143,2.087107,892841600
2006-08-01,2.400714,2.426071,2.355000,2.399286,2.063153,711765600
2006-08-02,2.416071,2.452857,2.411071,2.434286,2.093250,550768400
2006-08-03,2.425357,2.500000,2.421786,2.485357,2.137166,841044400
2006-08-04,2.394643,2.450357,2.320000,2.439286,2.097549,1852866400
2006-08-07,2.418571,2.485714,2.368214,2.400357,2.064074,1245512800
2006-08-08,2.396071,2.396786,2.303929,2.313571,1.989447,997864000
2006-08-09,2.336786,2.342857,2.264286,2.271071,1.952900,955838800
2006-08-10,2.258929,2.314643,2.239286,2.288214,1.967642,697760000
2006-08-11,2.258214,2.290357,2.235000,2.273214,1.954744,777529200
2006-08-14,2.287500,2.329286,2.271429,2.283571,1.963649,717620400
2006-08-15,2.333571,2.375000,2.314286,2.373214,2.040734,861352800
2006-08-16,2.396429,2.431071,2.368929,2.427857,2.087721,781284000
2006-08-17,2.428571,2.452143,2.399286,2.413929,2.075744,581148400
2006-08-18,2.418214,2.442857,2.402143,2.425357,2.085572,536354000
2006-08-21,2.403571,2.403929,2.362500,2.377143,2.044111,526226400
2006-08-22,2.381429,2.440000,2.375000,2.415000,2.076665,576968000
2006-08-23,2.428571,2.451786,2.390714,2.403929,2.067145,536258800
2006-08-24,2.424643,2.435357,2.366786,2.421786,2.082501,655191600
2006-08-25,2.405000,2.466071,2.403929,2.455357,2.111368,543958800
2006-08-28,2.446429,2.450357,2.381429,2.392143,2.057011,738161200
2006-08-29,2.392500,2.402143,2.325714,2.374286,2.041655,947332400
2006-08-30,2.405000,2.422143,2.381429,2.391429,2.056396,680142400
2006-08-31,2.402857,2.439286,2.380714,2.423214,2.083728,574697200
2006-09-01,2.445714,2.451786,2.422143,2.442143,2.100006,408494800
2006-09-05,2.463214,2.553571,2.448214,2.552857,2.195209,1012457600
2006-09-06,2.538571,2.560357,2.489286,2.501071,2.150677,974103200
2006-09-07,2.521429,2.624286,2.508929,2.600000,2.235747,1267957600
2006-09-08,2.620357,2.627500,2.568214,2.590000,2.227148,895921600
