Date,Open,High,Low,Close,Adj Close,Volume
2006-05-01,34.799999,34.885105,34.076595,34.161701,18.244360,1057618
2006-05-02,34.374470,34.519150,34.280849,34.493618,18.421623,629448
2006-05-03,34.493618,34.578724,34.144680,34.348934,18.344345,583035
2006-05-04,34.340427,34.612766,34.323402,34.519150,18.435257,445443
2006-05-05,34.723404,34.910637,34.348934,34.782978,18.576159,701828
2006-05-08,34.782978,34.987232,34.706383,34.902126,18.639788,650363
2006-05-09,34.987232,34.987232,34.348934,34.400002,18.371622,1001335
2006-05-10,34.468086,34.757446,34.425533,34.561703,18.457981,817800
2006-05-11,34.527660,34.595745,34.034042,34.340427,18.339809,827788
2006-05-12,34.340427,34.425533,33.778725,33.787235,18.044371,644253
2006-05-15,33.829788,34.297871,33.761703,34.025532,18.171633,863038
2006-05-16,34.068085,34.170212,33.634045,33.685104,17.989824,515708
2006-05-17,33.531914,33.821278,32.995747,33.191490,17.726212,877843
2006-05-18,33.191490,33.634045,33.097874,33.319149,17.794386,742013
2006-05-19,33.489361,33.821278,33.097874,33.685104,17.989824,1189100
2006-05-22,33.685104,34.331917,33.548935,34.195744,18.262539,1321758
2006-05-23,34.195744,34.331917,33.514893,33.557446,17.921652,826143
2006-05-24,33.557446,33.889362,33.191490,33.821278,18.062557,962090
2006-05-25,34.068085,34.255318,33.804256,34.246807,18.289814,741073
2006-05-26,34.382980,34.400002,34.153191,34.391487,18.367075,629213
2006-05-30,34.212765,34.314896,33.880852,33.914894,18.112547,866210
2006-05-31,33.948936,34.655319,33.948936,34.400002,18.371622,902400
2006-06-01,34.374470,34.638298,34.255318,34.629787,18.494345,856340
2006-06-02,34.723404,34.970215,34.510639,34.876595,18.626158,754703
2006-06-05,34.876595,34.944679,34.553192,34.595745,18.476160,648013
2006-06-06,34.723404,34.723404,33.982979,34.331917,18.335266,836600
2006-06-07,34.417023,34.953190,34.365955,34.638298,18.498888,927310
2006-06-08,34.740425,35.182980,34.595745,35.021278,18.703419,1049158
